FECHA,CATEGORIA,CANTIDAD
2024-04-01,5,3
2024-04-01,4,3
2024-04-01,5,2
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,1,1
2024-04-01,4,2
2024-04-01,4,1
2024-04-01,4,1
2024-04-01,5,1
2024-04-01,1,1
2024-04-01,5,1
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,4,1
2024-04-01,5,1
2024-04-01,5,10
2024-04-01,5,15
2024-04-01,3,8
2024-04-01,5,3
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,8,1
2024-04-01,3,3
2024-04-01,5,1
2024-04-01,4,1
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,4,1
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,4,1
2024-04-01,8,1
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,4,1
2024-04-01,1,1
2024-04-01,8,2
2024-04-01,1,1
2024-04-01,5,1
2024-04-01,8,1
2024-04-01,8,1
2024-04-01,6,1
2024-04-01,5,7
2024-04-01,1,1
2024-04-01,1,1
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,4,4
2024-04-01,4,2
2024-04-01,3,1
2024-04-01,3,1
2024-04-01,3,2
2024-04-01,4,2
2024-04-01,5,2
2024-04-01,3,1
2024-04-01,5,1
2024-04-01,4,1
2024-04-01,3,2
2024-04-01,4,1
2024-04-01,1,1
2024-04-01,1,1
2024-04-01,5,1
2024-04-01,5,1
2024-04-01,3,1
2024-04-01,3,1
2024-04-01,4,1
2024-04-01,3,1
2024-04-01,5,2
2024-04-09,3,1
2024-04-09,3,1
2024-04-09,1,1
2024-04-10,1,2
2024-04-26,3,2
2024-04-26,3,2
2024-04-26,5,2
2024-04-26,3,3
2024-04-26,3,2
2024-04-26,4,1
2024-04-26,4,1
2024-04-26,4,1
2024-04-26,5,13
2024-04-26,1,2
2024-04-26,4,16
2024-04-26,4,48
2024-04-26,4,57
2024-04-26,4,33
2024-04-26,4,12
2024-04-26,8,13
2024-04-26,4,60
2024-04-26,3,20
2024-04-26,8,3
2024-04-26,5,169
2024-04-26,3,18
2024-04-26,5,1
2024-04-26,1,9
