fecha,categoria,total
2024-04-01,5,594
2024-04-01,4,207
2024-04-01,5,396
2024-04-01,3,96
2024-04-01,4,80
2024-04-01,1,35
2024-04-01,4,140
2024-04-01,4,80
2024-04-01,4,80
2024-04-01,5,111
2024-04-01,1,210
2024-04-01,5,111
2024-04-01,3,80
2024-04-01,4,80
2024-04-01,4,80
2024-04-01,5,111
2024-04-01,5,1100
2024-04-01,5,1650
2024-04-01,3,760
2024-04-01,5,594
2024-04-01,5,260
2024-04-01,5,198
2024-04-01,8,143
2024-04-01,3,288
2024-04-01,5,198
2024-04-01,4,77
2024-04-01,3,53
2024-04-01,4,70
2024-04-01,4,185
2024-04-01,5,111
2024-04-01,5,55
2024-04-01,5,55
2024-04-01,5,55
2024-04-01,4,80
2024-04-01,8,145
2024-04-01,5,111
2024-04-01,5,53
2024-04-01,4,40
2024-04-01,1,123
2024-04-01,8,290
2024-04-01,1,123
2024-04-01,5,111
2024-04-01,8,143
2024-04-01,8,145
2024-04-01,6,135
2024-04-01,5,770
2024-04-01,1,210
2024-04-01,1,210
2024-04-01,3,80
2024-04-01,4,70
2024-04-01,4,276
2024-04-01,4,370
2024-04-01,3,120
2024-04-01,3,92
2024-04-01,3,184
2024-04-01,4,160
2024-04-01,5,400
2024-04-01,3,96
2024-04-01,5,55
2024-04-01,4,118
2024-04-01,3,184
2024-04-01,4,80
2024-04-01,1,123
2024-04-01,1,210
2024-04-01,5,200
2024-04-01,5,111
2024-04-01,3,120
2024-04-01,3,92
2024-04-01,4,77
2024-04-01,3,53
2024-04-01,5,396
2024-04-09,3,92
2024-04-09,3,120
2024-04-09,1,90
2024-04-10,1,180
2024-04-26,3,192
2024-04-26,3,160
2024-04-26,5,390
2024-04-26,3,270
2024-04-26,3,180
2024-04-26,4,83
2024-04-26,4,118
2024-04-26,4,185
2024-04-26,5,2535
2024-04-26,1,180
2024-04-26,4,1120
2024-04-26,4,3840
2024-04-26,4,4560
2024-04-26,4,2640
2024-04-26,4,1008
2024-04-26,8,1170
2024-04-26,4,7080
2024-04-26,3,1060
2024-04-26,8,435
2024-04-26,5,18759
2024-04-26,3,2160
2024-04-26,5,260
2024-04-26,1,1935
2024-04-26,1,1935
2024-04-26,8,15444
2024-04-26,1,6880
2024-04-26,4,840
2024-04-26,4,14800
2024-04-26,3,95036
2024-04-26,3,2800
2024-04-26,4,1078
2024-04-26,4,77
2024-04-26,3,522
2024-04-26,3,1624
2024-04-26,5,7326
2024-04-26,3,35910
2024-04-26,3,3956
2024-04-26,4,400
2024-04-26,3,497
2024-04-26,3,420
2024-04-26,4,120
2024-04-26,5,1375
2024-04-26,4,3933
2024-04-26,5,1325
2024-04-26,1,17712
2024-04-26,5,990
2024-04-26,5,715
2024-04-26,3,768
2024-04-26,6,270
2024-04-26,1,385
2024-04-26,1,850
2024-04-26,3,460
2024-04-26,1,1230
2024-04-26,4,84
2024-04-26,1,740
2024-04-26,3,460
2024-04-26,3,900
2024-04-26,4,120
2024-04-27,5,220
2024-04-27,5,195
2024-04-27,1,150
2024-04-27,5,330
2024-04-27,3,92
2024-04-28,3,92
2024-04-28,3,58
2024-04-29,3,395
2024-04-29,3,400
2024-04-29,5,265
2024-04-29,4,234
2024-04-29,4,234
2024-04-29,4,312
2024-04-29,5,985
2024-04-29,5,330
2024-04-29,3,355
2024-04-29,4,188
2024-04-29,4,280
2024-04-29,4,272
2024-04-29,4,70
2024-04-29,4,166
2024-04-29,1,340
2024-04-29,2,117
2024-04-29,2,117
2024-04-29,3,92
2024-04-29,4,80
2024-04-29,5,1090
2024-04-29,3,480
2024-04-29,3,276
2024-04-29,5,394
2024-04-29,4,83
2024-04-29,4,118
2024-04-29,3,71
2024-04-29,3,58
2024-04-29,1,440
2024-04-29,1,420
2024-04-29,1,170
2024-04-29,1,170
2024-04-29,3,400
2024-04-29,3,80
2024-04-29,3,184
2024-04-29,1,123
2024-04-29,1,255
2024-04-29,1,170
2024-04-29,4,188
2024-04-29,3,1170
2024-04-29,3,880
2024-04-29,3,880
2024-04-29,3,2640
2024-04-29,4,780
2024-04-29,4,780
2024-04-29,5,1635
2024-04-29,3,1425
